MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA
104.95,104.95,104.95,104.95,104.95,85.92,85.92,85.92,85.92,85.92,80.92
105.11,105.11,105.11,105.11,105.11,87.59,87.59,87.59,87.59,87.59,83.42
105.28,105.28,105.28,105.28,105.28,89.26,89.26,89.26,89.26,89.26,85.92
105.45,105.45,105.45,105.45,105.45,90.93,90.93,90.93,90.93,90.93,88.43
105.61,105.61,105.61,105.61,105.61,92.6,92.6,92.6,92.6,92.6,90.93
105.78,105.78,105.78,105.78,105.78,94.27,94.27,94.27,94.27,94.27,93.43
105.95,105.95,105.95,105.95,105.95,95.94,95.94,95.94,95.94,95.94,95.94
109.56,109.56,109.56,109.56,109.56,97.33,97.33,97.33,97.33,97.33,95.94
113.18,113.18,113.18,113.18,113.18,98.72,98.72,98.72,98.72,98.72,95.94
116.79,116.79,116.79,116.79,116.79,100.11,100.11,100.11,100.11,100.11,95.94
120.41,120.41,120.41,120.41,120.41,101.5,101.5,101.5,101.5,101.5,95.94
109.95,109.95,109.95,109.95,109.95,97.1,97.1,97.1,97.1,97.1,95.77
109.28,109.28,109.28,109.28,109.28,97.6,97.6,97.6,97.6,97.6,95.1
108.62,108.62,108.62,108.62,108.62,98.1,98.1,98.1,98.1,98.1,94.43
107.95,107.95,107.95,107.95,107.95,98.61,98.61,98.61,98.61,98.61,93.77
107.28,107.28,107.28,107.28,107.28,99.11,99.11,99.11,99.11,99.11,93.1
106.61,106.61,106.61,106.61,106.61,99.61,99.61,99.61,99.61,99.61,92.43
105.95,105.95,105.95,105.95,105.95,100.11,100.11,100.11,100.11,100.11,91.76
109.56,109.56,109.56,109.56,109.56,102.89,102.89,102.89,102.89,102.89,95.94
113.18,113.18,113.18,113.18,113.18,105.67,105.67,105.67,105.67,105.67,100.11
116.79,116.79,116.79,116.79,116.79,108.45,108.45,108.45,108.45,108.45,104.28
120.41,120.41,120.41,120.41,120.41,111.23,111.23,111.23,111.23,111.23,108.45
75.75,75.75,75.75,75.75,75.75,70.41,70.41,70.41,70.41,70.41,69.24
78.42,78.42,78.42,78.42,78.42,73.41,73.41,73.41,73.41,73.41,70.91
81.09,81.09,81.09,81.09,81.09,76.41,76.41,76.41,76.41,76.41,72.58
83.76,83.76,83.76,83.76,83.76,79.42,79.42,79.42,79.42,79.42,74.25
86.43,86.43,86.43,86.43,86.43,82.42,82.42,82.42,82.42,82.42,75.91
89.09,89.09,89.09,89.09,89.09,85.42,85.42,85.42,85.42,85.42,77.58
91.76,91.76,91.76,91.76,91.76,88.43,88.43,88.43,88.43,88.43,79.25
90.37,90.37,90.37,90.37,90.37,86.76,86.76,86.76,86.76,86.76,79.25
88.98,88.98,88.98,88.98,88.98,85.09,85.09,85.09,85.09,85.09,79.25
